Building Permits
2010 Building Permits
Monthly New Privately-Owned Residential Building Permits
Los Angeles, California (Los Angeles County -  244000)


                Estimates with Imputation                        Reported Only
"Item","Buildings","Units","Construction cost","Buildings","Units","Construction cost"
"Single Family",636,636,256857984,636,636,256857984
"Two Family",118,236,44235048,118,236,44235048
"Three and Four Family",0,0,0,0,0,0
"Five or More Family",117,3237,567751961,117,3237,567751961
"Total",871,4109,868844993,871,4109,868844993
Source: U.S. Census Bureau
