Building Permits
2014 Building Permits
Monthly New Privately-Owned Residential Building Permits
Los Angeles                                       , California (Los Angeles County -  244000)


                Estimates with Imputation                        Reported Only
"Item","Buildings","Units","Construction cost","Buildings","Units","Construction cost"
"Single Family",1668.00000,1668.00000,658875237.00000,1668.00000,1668.00000,658875237.00000
"Two Family",205.00000,410.00000,75672126.00000,205.00000,410.00000,75672126.00000
"Three and Four Family",3.00000,9.00000,2906000.00000,3.00000,9.00000,2906000.00000
"Five or More Family",186.00000,9177.00000,1588437320.00000,186.00000,9177.00000,1588437320.00000
"Total",2062,11264,2325890683,2062,11264,2325890683
Source: U.S. Census Bureau
