Building Permits
2013 Building Permits
Monthly New Privately-Owned Residential Building Permits
Los Angeles, California (Los Angeles County -  244000)


                Estimates with Imputation                        Reported Only
"Item","Buildings","Units","Construction cost","Buildings","Units","Construction cost"
"Single Family",1144,1144,463647439,1144,1144,463647439
"Two Family",182,364,68900279,182,364,68900279
"Three and Four Family",1,4,500000,1,4,500000
"Five or More Family",130,6880,1190396340,130,6880,1190396340
"Total",1457,8392,1723444058,1457,8392,1723444058
Source: U.S. Census Bureau
