Building Permits
2012 Building Permits
Monthly New Privately-Owned Residential Building Permits
Los Angeles, California (Los Angeles County -  244000)


                Estimates with Imputation                        Reported Only
"Item","Buildings","Units","Construction cost","Buildings","Units","Construction cost"
"Single Family",870,870,328594486,870,870,328594486
"Two Family",143,286,49074835,143,286,49074835
"Three and Four Family",1,4,638000,1,4,638000
"Five or More Family",103,5540,948671761,103,5540,948671761
"Total",1117,6700,1326979082,1117,6700,1326979082
Source: U.S. Census Bureau
